"stop_id","pid","resultkey","result","code","resulttext"
"2253","1","7","Field interview card completed","",""
"2254","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2254","1","6","Custodial Arrest without warrant","23132","487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132"
"2255","1","3","Citation for infraction","41063","25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063"
"2256","1","7","Field interview card completed","",""
"2257","1","6","Custodial Arrest without warrant","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025"
"2258","1","2","Warning (verbal or written)","54110","24601 VC - FAIL MAINT LIC PLATE LAMP (I) 54110"
"2259","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2260","1","3","Citation for infraction","54116","27150(A) VC - INADEQUATE MUFFLERS (I) 54116"
"2260","1","3","Citation for infraction","54101","16028(A) VC - FAIL PROVE FIN RSP:PO REQ (I) 54101"
"2260","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"2261","1","7","Field interview card completed","",""
"2261","2","7","Field interview card completed","",""
"2262","1","4","In-field cite and release","35422","11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422"
"2263","1","6","Custodial Arrest without warrant","35254","11351.5 HS - POSS/PUR COKE BASE F/SALE (F) 35254"
"2264","1","7","Field interview card completed","",""
"2265","1","2","Warning (verbal or written)","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146"
"2266","1","6","Custodial Arrest without warrant","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025"
"2267","1","8","Noncriminal transport or caretaking transport","",""
"2268","1","2","Warning (verbal or written)","54086","23103(A) VC - RECKLESS DRIVING:HIGHWAY (M) 54086"
"2269","1","10","Psychiatric hold","",""
"2270","1","6","Custodial Arrest without warrant","52436","25850(A) PC - CRRY LOAD F/ARM PUB PLACE (M) 52436"
"2271","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2272","1","1","None","",""
"2273","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2274","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2275","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2275","2","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2276","1","4","In-field cite and release","42104","23152(A) VC - DUI ALCOHOL (M) 42104"
"2276","1","6","Custodial Arrest without warrant","42104","23152(A) VC - DUI ALCOHOL (M) 42104"
"2277","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2278","1","2","Warning (verbal or written)","66205","640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205"
"2279","1","6","Custodial Arrest without warrant","35276","11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276"
"2280","1","6","Custodial Arrest without warrant","53072","415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072"
"2281","1","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2281","1","7","Field interview card completed","",""
"2282","1","10","Psychiatric hold","",""
"2283","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2283","1","6","Custodial Arrest without warrant","66100","978.5 PC - BENCH WARRANT:FTA:MISD (M) 66100"
"2283","1","6","Custodial Arrest without warrant","29143","594(B)(1) PC - VANDALISM $400 OR MORE (F) 29143"
"2284","1","1","None","",""
"2285","1","1","None","",""
"2285","2","1","None","",""
"2285","3","1","None","",""
"2286","1","2","Warning (verbal or written)","54191","24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191"
"2287","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2288","1","10","Psychiatric hold","",""
"2289","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2290","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2291","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2292","1","2","Warning (verbal or written)","54178","21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178"
"2293","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2294","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2295","1","2","Warning (verbal or written)","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2296","1","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2296","1","7","Field interview card completed","",""
"2296","2","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2296","2","7","Field interview card completed","",""
"2296","3","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2296","3","7","Field interview card completed","",""
"2296","4","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2296","4","7","Field interview card completed","",""
"2296","5","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2296","5","7","Field interview card completed","",""
"2297","1","6","Custodial Arrest without warrant","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174"
"2297","2","2","Warning (verbal or written)","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174"
"2298","1","8","Noncriminal transport or caretaking transport","",""
"2299","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2300","1","7","Field interview card completed","",""
"2301","1","3","Citation for infraction","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2302","1","6","Custodial Arrest without warrant","57086","647(I) PC - PEEK INHAB BLDG W/LOITRNG (M) 57086"
"2303","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2304","1","2","Warning (verbal or written)","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"2305","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"2306","1","2","Warning (verbal or written)","54398","21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398"
"2307","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"2307","2","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"2308","1","4","In-field cite and release","23087","484(A) PC - PETTY THEFT (M) 23087"
"2309","1","2","Warning (verbal or written)","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"2310","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2311","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2312","1","2","Warning (verbal or written)","54088","21650.1 VC - OPR BIKE:RD/ETC:WRONG WAY (I) 54088"
"2313","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2314","1","10","Psychiatric hold","",""
"2315","1","6","Custodial Arrest without warrant","23132","487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132"
"2316","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2317","1","4","In-field cite and release","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2317","1","4","In-field cite and release","35353","11377(A) HS - POSSESS CNTL SUB (M) 35353"
"2318","1","6","Custodial Arrest without warrant","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143"
"2318","1","6","Custodial Arrest without warrant","35353","11377(A) HS - POSSESS CNTL SUB (M) 35353"
"2318","1","6","Custodial Arrest without warrant","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2319","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"2320","1","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2321","1","4","In-field cite and release","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2322","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2323","1","10","Psychiatric hold","",""
"2324","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2325","1","7","Field interview card completed","",""
"2326","1","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2327","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2328","1","6","Custodial Arrest without warrant","35276","11351 HS - POS/PUR F/SALE NARC/C/SUB (F) 35276"
"2328","1","6","Custodial Arrest without warrant","35154","11352(A) HS - TRANSP/SELL NARC/CNTL SUB (F) 35154"
"2328","1","6","Custodial Arrest without warrant","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2329","1","7","Field interview card completed","",""
"2330","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"2330","2","7","Field interview card completed","",""
"2330","3","7","Field interview card completed","",""
"2331","1","8","Noncriminal transport or caretaking transport","",""
"2332","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2333","1","1","None","",""
"2333","2","5","Custodial Arrest pursuant to outstanding warrant","",""
"2334","1","2","Warning (verbal or written)","54178","21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178"
"2335","1","3","Citation for infraction","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2336","1","2","Warning (verbal or written)","32139","602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139"
"2337","1","3","Citation for infraction","41063","25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063"
"2338","1","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2339","1","4","In-field cite and release","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2340","1","2","Warning (verbal or written)","66427","24600(E) VC - TAILLAMP VIOL COLOR/VISIB (I) 66427"
"2341","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2342","1","6","Custodial Arrest without warrant","50075","3056 PC - VIOLATION OF PAROLE:FEL (F) 50075"
"2343","1","1","None","",""
"2344","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2345","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2346","1","2","Warning (verbal or written)","54116","27150(A) VC - INADEQUATE MUFFLERS (I) 54116"
"2347","1","6","Custodial Arrest without warrant","13045","242 PC - BATTERY (M) 13045"
"2348","1","7","Field interview card completed","",""
"2349","1","4","In-field cite and release","23103","488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103"
"2350","1","7","Field interview card completed","",""
"2351","1","2","Warning (verbal or written)","20036","451(D) PC - ARSON:PROPERTY (F) 20036"
"2352","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2353","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2354","1","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2354","1","7","Field interview card completed","",""
"2354","2","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2354","2","7","Field interview card completed","",""
"2354","3","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2354","3","7","Field interview card completed","",""
"2354","4","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2354","4","7","Field interview card completed","",""
"2354","5","2","Warning (verbal or written)","32111","647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111"
"2354","5","5","Custodial Arrest pursuant to outstanding warrant","",""
"2355","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2356","1","8","Noncriminal transport or caretaking transport","",""
"2357","1","6","Custodial Arrest without warrant","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025"
"2357","2","1","None","",""
"2358","1","4","In-field cite and release","54108","14601.2(A) VC - DRIV:SUSP/ETC LIC:DUI:VIO (M) 54108"
"2359","1","9","Contacted parent/legal guardian or other person responsible for the minor","",""
"2359","1","10","Psychiatric hold","",""
"2360","1","6","Custodial Arrest without warrant","35212","11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212"
"2361","1","7","Field interview card completed","",""
"2362","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2363","1","7","Field interview card completed","",""
"2364","1","4","In-field cite and release","35431","11357(B) HS - POSS MARIJ OVER 28.5 GRAM (M) 35431"
"2365","1","3","Citation for infraction","65000","65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000"
"2366","1","2","Warning (verbal or written)","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990"
"2367","1","2","Warning (verbal or written)","65000","65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000"
"2367","2","3","Citation for infraction","65000","65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000"
"2368","1","7","Field interview card completed","",""
"2369","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2370","1","7","Field interview card completed","",""
"2370","2","7","Field interview card completed","",""
"2371","1","6","Custodial Arrest without warrant","24054","10851(A) VC - VEHICLE THEFT (F) 24054"
"2372","1","3","Citation for infraction","66945","21750(A) VC - OVERTAKE/LEFT PASS VIOL (I) 66945"
"2373","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2374","1","2","Warning (verbal or written)","54344","22103 VC - UNLAWFL UTURN:RESIDENTIAL (I) 54344"
"2375","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2375","1","3","Citation for infraction","54101","16028(A) VC - FAIL PROVE FIN RSP:PO REQ (I) 54101"
"2376","1","3","Citation for infraction","54116","27150(A) VC - INADEQUATE MUFFLERS (I) 54116"
"2377","1","4","In-field cite and release","48122","148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122"
"2378","1","4","In-field cite and release","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2379","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2380","1","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2380","2","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2381","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2382","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2383","1","8","Noncriminal transport or caretaking transport","",""
"2384","1","6","Custodial Arrest without warrant","13142","206 PC - TORTURE (F) 13142"
"2385","1","4","In-field cite and release","65000","65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000"
"2386","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2386","1","6","Custodial Arrest without warrant","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"2386","1","6","Custodial Arrest without warrant","35172","11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172"
"2386","1","6","Custodial Arrest without warrant","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2387","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2388","1","2","Warning (verbal or written)","32102","602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102"
"2388","1","7","Field interview card completed","",""
"2389","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2390","1","3","Citation for infraction","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"2391","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2392","1","3","Citation for infraction","54212","22348(B) VC - DRIVE IN EXCESS 100 MPH (I) 54212"
"2392","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2393","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2393","1","6","Custodial Arrest without warrant","35431","11357(B) HS - POSS MARIJ OVER 28.5 GRAM (M) 35431"
"2393","1","6","Custodial Arrest without warrant","35353","11377(A) HS - POSSESS CNTL SUB (M) 35353"
"2393","2","4","In-field cite and release","35430","11357(B) HS - POSS MARIJ OVER 28.5 GRAM (I) 35430"
"2393","2","4","In-field cite and release","35431","11357(B) HS - POSS MARIJ OVER 28.5 GRAM (M) 35431"
"2394","1","10","Psychiatric hold","",""
"2395","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2395","1","6","Custodial Arrest without warrant","50103","166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103"
"2396","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2396","1","6","Custodial Arrest without warrant","35422","11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422"
"2397","1","2","Warning (verbal or written)","54322","38310 VC - VIOL 15MPH SPEED CAMP/ETC (I) 54322"
"2398","1","6","Custodial Arrest without warrant","28035","496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035"
"2399","1","2","Warning (verbal or written)","66424","24600(B) VC - TAILLAMP VIOL 2 LIGHTS (I) 66424"
"2399","1","10","Psychiatric hold","",""
"2400","1","2","Warning (verbal or written)","55207","374.4(A) PC - LITER PUBLIC/PRIVATE PROP (I) 55207"
"2401","1","2","Warning (verbal or written)","54943","21201(C) VC - OPR UNSAFE BIKE ON HWY (I) 54943"
"2402","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"2403","1","2","Warning (verbal or written)","54110","24601 VC - FAIL MAINT LIC PLATE LAMP (I) 54110"
"2404","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"2405","1","3","Citation for infraction","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"2406","1","6","Custodial Arrest without warrant","42117","23152(G) VC - DUI ALCOHOL AND DRUG (M) 42117"
"2407","1","4","In-field cite and release","41063","25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063"
"2408","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2409","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2410","1","2","Warning (verbal or written)","32131","602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131"
"2410","1","7","Field interview card completed","",""
"2411","1","2","Warning (verbal or written)","54141","21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141"
"2411","1","7","Field interview card completed","",""
"2412","1","2","Warning (verbal or written)","23127","22435.2(A) BP - REM SHOPPING/LAUNDRY CART (M) 23127"
"2413","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2414","1","2","Warning (verbal or written)","54110","24601 VC - FAIL MAINT LIC PLATE LAMP (I) 54110"
"2415","1","8","Noncriminal transport or caretaking transport","",""
"2948","1","4","In-field cite and release","42104","23152(A) VC - DUI ALCOHOL (M) 42104"
"2949","1","6","Custodial Arrest without warrant","23132","487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132"
"2950","1","4","In-field cite and release","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"2951","1","2","Warning (verbal or written)","54141","21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141"
"2952","1","6","Custodial Arrest without warrant","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174"
"2953","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"2954","1","2","Warning (verbal or written)","54110","24601 VC - FAIL MAINT LIC PLATE LAMP (I) 54110"
"2955","1","2","Warning (verbal or written)","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880"
"2956","1","2","Warning (verbal or written)","54574","24603(A) VC - STOPLAMPS:VEH MUST HAVE (I) 54574"
"2957","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"2958","1","7","Field interview card completed","",""
"2959","1","10","Psychiatric hold","",""
"2960","1","8","Noncriminal transport or caretaking transport","",""
"2961","1","3","Citation for infraction","54083","14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083"
"2962","1","8","Noncriminal transport or caretaking transport","",""
"2962","1","9","Contacted parent/legal guardian or other person responsible for the minor","",""
"2962","1","10","Psychiatric hold","",""
"2963","1","2","Warning (verbal or written)","54506","21803(A) VC - FAIL TO YIELD UNTIL SAFE (I) 54506"
"2964","1","7","Field interview card completed","",""
"2965","1","4","In-field cite and release","42104","23152(A) VC - DUI ALCOHOL (M) 42104"
"2966","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"2967","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2968","1","6","Custodial Arrest without warrant","40030","266H(A) PC - PIMPING (F) 40030"
"2969","1","2","Warning (verbal or written)","54193","24600 VC - TAILLAMP VIOLATIONS (I) 54193"
"2970","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2971","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"2972","1","6","Custodial Arrest without warrant","13219","245(A)(1) PC - ADW NOT FIREARM (F) 13219"
"2973","1","6","Custodial Arrest without warrant","13082","243(A) PC - BATTERY ON PERSON (M) 13082"
"2973","1","6","Custodial Arrest without warrant","32023","602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023"
"2974","1","4","In-field cite and release","23099","484(A) PC - THEFT (M) 23099"
"2975","1","6","Custodial Arrest without warrant","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025"
"2976","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2977","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"2978","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"2979","1","6","Custodial Arrest without warrant","48122","148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122"
"2980","1","6","Custodial Arrest without warrant","64005","647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005"
"2981","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2982","1","4","In-field cite and release","52136","417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136"
"2983","1","3","Citation for infraction","41063","25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063"
"2984","1","1","None","",""
"2985","1","3","Citation for infraction","54398","21950(A) VC - FAIL YIELD TO PED:XWALKS (I) 54398"
"2986","1","7","Field interview card completed","",""
"2987","1","6","Custodial Arrest without warrant","36343","314(1) PC - INDECENT EXPOSURE (M) 36343"
"2987","1","6","Custodial Arrest without warrant","13217","245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217"
"2988","1","4","In-field cite and release","23273","459.5(A) PC - SHOPLIFTING (M) 23273"
"2989","1","2","Warning (verbal or written)","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990"
"2990","1","6","Custodial Arrest without warrant","13219","245(A)(1) PC - ADW NOT FIREARM (F) 13219"
"2990","1","6","Custodial Arrest without warrant","36343","314(1) PC - INDECENT EXPOSURE (M) 36343"
"2991","1","2","Warning (verbal or written)","54422","22348(C) VC - SPEC VEH:WRONG PASS LANE (I) 54422"
"2992","1","2","Warning (verbal or written)","53130","415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130"
"2992","1","8","Noncriminal transport or caretaking transport","",""
"2993","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"2994","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"2995","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"2996","1","2","Warning (verbal or written)","66920","5202(A) VC - FOREIGN LIC PLT DISP VIOL (I) 66920"
"2997","1","2","Warning (verbal or written)","66205","640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205"
"2997","1","7","Field interview card completed","",""
"2997","2","7","Field interview card completed","",""
"2998","1","2","Warning (verbal or written)","66424","24600(B) VC - TAILLAMP VIOL 2 LIGHTS (I) 66424"
"2999","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"3000","1","1","None","",""
"3001","1","2","Warning (verbal or written)","54178","21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178"
"3002","1","1","None","",""
"3003","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"3004","1","7","Field interview card completed","",""
"3005","1","10","Psychiatric hold","",""
"3006","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"3007","1","7","Field interview card completed","",""
"3007","2","7","Field interview card completed","",""
"3007","3","7","Field interview card completed","",""
"3007","4","7","Field interview card completed","",""
"3008","1","2","Warning (verbal or written)","66983","27151(A) VC - ILL MOD EXHAUST SYS:NOISE (I) 66983"
"3009","1","3","Citation for infraction","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"3009","1","3","Citation for infraction","54101","16028(A) VC - FAIL PROVE FIN RSP:PO REQ (I) 54101"
"3010","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"3011","1","2","Warning (verbal or written)","66995","38312 VC - UNSAFE MOVEMENT OF VEH (I) 66995"
"3012","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"3013","1","2","Warning (verbal or written)","54373","21453(C) VC - FAIL STOP LINE/ETC AT RED (I) 54373"
"3014","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"3015","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"3016","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"3017","1","2","Warning (verbal or written)","66413","24401 VC - HEADLAMP VIOL LOWER BEAM (I) 66413"
"3018","1","2","Warning (verbal or written)","52136","417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136"
